index,glir11,qo11,qt11,glir22,qo22,qt22
11190,542,140.9078905,188.0397403,0,6.960355034,7.25892229
11191,542,140.9405341,187.6226962,0,6.976886985,7.181763448
11192,542,140.9405341,187.6226962,0,6.976886985,7.181763448
11193,542,140.9405341,187.6226962,0,6.976886985,7.181763448
11194,542,140.9405341,187.6226962,0,6.976886985,7.181763448
11195,542,140.9405341,187.6226962,0,6.976886985,7.181763448
11196,542,140.9405341,187.6226962,0,6.976886985,7.181763448
11197,542,140.9405341,187.6226962,0,6.976886985,7.181763448
11198,542,140.9405341,187.6226962,0,6.976886985,7.181763448
11199,542,140.9405341,187.6226962,0,6.976886985,7.181763448
11200,542,140.9405341,187.6226962,0,6.976886985,7.181763448
11201,542,138.4808088,185.7903165,0,4.067525112,5.04159794
11202,542,138.4808088,185.7903165,0,4.067525112,5.04159794
11203,542,138.4808088,185.7903165,0,4.067525112,5.04159794
11204,542,138.4808088,185.7903165,0,4.067525112,5.04159794
11205,542,138.4808088,185.7903165,0,4.067525112,5.04159794
11206,542,138.4808088,185.7903165,0,4.067525112,5.04159794
11207,542,138.4808088,185.7903165,0,4.067525112,5.04159794
11208,542,138.4808088,185.7903165,0,4.067525112,5.04159794
11209,542,138.4808088,185.7903165,0,4.067525112,5.04159794
11210,542,138.4808088,185.7903165,0,4.067525112,5.04159794
11211,542,136.8928102,184.3518984,0,2.37136714,3.539201754
11212,542,136.8928102,184.3518984,0,2.37136714,3.539201754
11213,542,136.8928102,184.3518984,0,2.37136714,3.539201754
11214,542,136.8928102,184.3518984,0,2.37136714,3.539201754
11215,542,136.8928102,184.3518984,0,2.37136714,3.539201754
11216,542,136.8928102,184.3518984,0,2.37136714,3.539201754
11217,542,136.8928102,184.3518984,0,2.37136714,3.539201754
11218,542,136.8928102,184.3518984,0,2.37136714,3.539201754
11219,542,136.8928102,184.3518984,0,2.37136714,3.539201754
11220,542,136.8928102,184.3518984,0,2.37136714,3.539201754
11221,542,135.8675982,183.2227403,0,1.382507043,2.484519631
11222,542,135.8675982,183.2227403,0,1.382507043,2.484519631
11223,542,135.8675982,183.2227403,0,1.382507043,2.484519631
11224,542,135.8675982,183.2227403,0,1.382507043,2.484519631
11225,542,135.8675982,183.2227403,0,1.382507043,2.484519631
11226,542,135.8675982,183.2227403,0,1.382507043,2.484519631
11227,542,135.8675982,183.2227403,0,1.382507043,2.484519631
11228,542,135.8675982,183.2227403,0,1.382507043,2.484519631
11229,542,135.8675982,183.2227403,0,1.382507043,2.484519631
11230,542,135.8675982,183.2227403,0,1.382507043,2.484519631
11231,542,135.2057214,182.3363511,0,0.806001606,1.744132781
11232,542,135.2057214,182.3363511,0,0.806001606,1.744132781
11233,542,135.2057214,182.3363511,0,0.806001606,1.744132781
11234,542,135.2057214,182.3363511,0,0.806001606,1.744132781
11235,542,135.2057214,182.3363511,0,0.806001606,1.744132781
11236,542,135.2057214,182.3363511,0,0.806001606,1.744132781
11237,542,135.2057214,182.3363511,0,0.806001606,1.744132781
11238,542,135.2057214,182.3363511,0,0.806001606,1.744132781
11239,542,135.2057214,182.3363511,0,0.806001606,1.744132781
11240,542,135.2057214,182.3363511,0,0.806001606,1.744132781
11241,542,134.7784138,181.6405356,0,0.469898936,1.224381212
11242,542,134.7784138,181.6405356,0,0.469898936,1.224381212
11243,542,134.7784138,181.6405356,0,0.469898936,1.224381212
11244,542,134.7784138,181.6405356,0,0.469898936,1.224381212
11245,542,134.7784138,181.6405356,0,0.469898936,1.224381212
11246,542,134.7784138,181.6405356,0,0.469898936,1.224381212
11247,542,134.7784138,181.6405356,0,0.469898936,1.224381212
11248,542,134.7784138,181.6405356,0,0.469898936,1.224381212
11249,542,134.7784138,181.6405356,0,0.469898936,1.224381212
11250,542,134.7784138,181.6405356,0,0.469898936,1.224381212
11251,542,134.5025439,181.0943205,0,0.27395108,0.859515611
11252,542,134.5025439,181.0943205,0,0.27395108,0.859515611
11253,542,134.5025439,181.0943205,0,0.27395108,0.859515611
11254,542,134.5025439,181.0943205,0,0.27395108,0.859515611
11255,542,134.5025439,181.0943205,0,0.27395108,0.859515611
11256,542,134.5025439,181.0943205,0,0.27395108,0.859515611
11257,542,134.5025439,181.0943205,0,0.27395108,0.859515611
11258,542,134.5025439,181.0943205,0,0.27395108,0.859515611
11259,542,134.5025439,181.0943205,0,0.27395108,0.859515611
11260,542,134.5025439,181.0943205,0,0.27395108,0.859515611
11261,542,134.3244424,180.6655416,0,0.15971348,0.603379959
11262,542,134.3244424,180.6655416,0,0.15971348,0.603379959
11263,542,134.3244424,180.6655416,0,0.15971348,0.603379959
11264,542,134.3244424,180.6655416,0,0.15971348,0.603379959
11265,542,134.3244424,180.6655416,0,0.15971348,0.603379959
11266,542,134.3244424,180.6655416,0,0.15971348,0.603379959
11267,542,134.3244424,180.6655416,0,0.15971348,0.603379959
11268,542,134.3244424,180.6655416,0,0.15971348,0.603379959
11269,542,134.3244424,180.6655416,0,0.15971348,0.603379959
11270,542,134.3244424,180.6655416,0,0.15971348,0.603379959
11271,542,134.20946,180.3289501,0,0.093112959,0.423572731
