index,glir,qo,qt,wc,ch,gor
415,54.2,138.84,332.84,3.99,1133,18993.09
416,54.2,138.84,332.84,3.99,1133,18993.09
417,54.2,138.84,332.84,3.99,1133,18993.09
418,54.2,138.84,332.84,3.99,1133,18993.09
419,54.2,138.84,332.84,3.99,1133,18993.09
420,54.2,138.84,332.84,3.99,1133,18993.09
421,54.2,138.84,332.84,3.99,1133,18993.09
422,54.2,138.84,332.84,3.99,1133,18993.09
423,54.2,138.84,332.84,3.99,1133,18993.09
424,54.2,138.84,332.84,3.99,1133,18993.09
425,54.2,138.84,332.84,3.99,1133,18993.09
426,54.2,138.84,332.84,3.99,1133,18993.09
427,54.2,138.84,332.84,3.99,1133,18993.09
428,54.2,138.84,332.84,3.99,1133,18993.09
429,54.2,138.84,332.84,3.99,1133,18993.09
430,54.2,138.84,332.84,3.99,1133,18993.09
431,54.2,138.84,332.84,3.99,1133,18993.09
432,54.2,138.84,332.84,3.99,1133,18993.09
433,54.2,138.84,332.84,3.99,1133,18993.09
434,54.2,138.84,332.84,3.99,1133,18993.09
435,54.2,136.84,330.84,3.99,1133,19256.07
436,54.2,136.84,330.84,3.99,1133,19256.07
437,54.2,136.84,330.84,3.99,1133,19256.07
438,54.2,136.84,330.84,3.99,1133,19256.07
439,54.2,136.84,330.84,3.99,1133,19256.07
440,54.2,136.84,330.84,3.99,1133,19256.07
441,54.2,136.84,330.84,3.99,1133,19256.07
442,54.2,136.84,330.84,3.99,1133,19256.07
443,54.2,136.84,330.84,3.99,1133,19256.07
444,54.2,136.84,330.84,3.99,1133,19256.07
445,54.2,136.84,330.84,3.99,1133,19256.07
446,54.2,136.84,330.84,3.99,1133,19256.07
447,54.2,136.84,330.84,3.99,1133,19256.07
448,54.2,136.84,330.84,3.99,1133,19256.07
449,54.2,136.84,330.84,3.99,1133,19256.07
450,54.2,136.84,330.84,3.99,1133,19256.07
451,54.2,136.84,330.84,3.99,1133,19256.07
452,54.2,136.84,330.84,3.99,1133,19256.07
453,54.2,136.84,330.84,3.99,1133,19256.07
454,54.2,136.84,330.84,3.99,1133,19256.07
455,54.2,136.84,330.84,3.99,1133,19256.07
456,54.2,136.84,330.84,3.99,1133,19256.07
457,54.2,136.84,330.84,3.99,1133,19256.07
458,54.2,136.84,330.84,3.99,1133,19256.07
459,54.2,136.84,330.84,3.99,1133,19256.07
460,54.2,136.84,330.84,3.99,1133,19256.07
461,54.2,136.84,330.84,3.99,1133,19256.07
462,54.2,136.84,330.84,3.99,1133,19256.07
463,54.2,136.84,330.84,3.99,1133,19256.07
464,54.2,136.84,330.84,3.99,1133,19256.07
465,54.2,136.84,330.84,3.99,1133,19256.07
466,54.2,136.84,330.84,3.99,1133,19256.07
467,54.2,136.84,330.84,3.99,1133,19256.07
468,54.2,142.91,336.91,3.99,1133,18480.16
469,54.2,142.91,336.91,3.99,1133,18480.16
470,54.2,142.91,336.91,3.99,1133,18480.16
471,54.2,142.91,336.91,3.99,1133,18480.16
472,54.2,142.91,336.91,3.99,1133,18480.16
473,54.2,142.91,336.91,3.99,1133,18480.16
474,54.2,142.91,336.91,3.99,1133,18480.16
475,54.2,142.91,336.91,3.99,1133,18480.16
476,54.2,142.91,336.91,3.99,1133,18480.16
477,54.2,142.91,336.91,3.99,1133,18480.16
478,54.2,142.91,336.91,3.99,1133,18480.16
479,54.2,142.91,336.91,3.99,1133,18480.16
480,54.2,142.91,336.91,3.99,1133,18480.16
481,54.2,142.91,336.91,3.99,1133,18480.16
482,54.2,142.91,336.91,3.99,1133,18480.16
483,54.2,142.91,336.91,3.99,1133,18480.16
484,54.2,142.91,336.91,3.99,1133,18480.16
485,54.2,142.91,336.91,3.99,1133,18480.16
486,54.2,142.91,336.91,3.99,1133,18480.16
487,54.2,142.91,336.91,3.99,1133,18480.16
488,54.2,142.91,336.91,3.99,1133,18480.16
489,54.2,142.91,336.91,3.99,1133,18480.16
490,54.2,142.91,336.91,3.99,1133,18480.16
491,54.2,142.91,336.91,3.99,1133,18480.16
492,54.2,142.91,336.91,3.99,1133,18480.16
493,54.2,142.91,336.91,3.99,1133,18480.16
494,54.2,142.91,336.91,3.99,1133,18480.16
495,54.2,142.91,336.91,3.99,1133,18480.16
496,54.2,142.91,336.91,3.99,1133,18480.16
497,54.2,142.91,336.91,3.99,1133,18480.16
498,54.2,142.91,336.91,3.99,1133,18480.16
499,54.2,142.91,336.91,3.99,1133,18480.16
500,54.2,142.91,336.91,3.99,1133,18480.16
501,54.2,136.53,330.53,3.99,1133,19299.79
502,54.2,136.53,330.53,3.99,1133,19299.79
503,54.2,136.53,330.53,3.99,1133,19299.79
504,54.2,136.53,330.53,3.99,1133,19299.79
505,54.2,136.53,330.53,3.99,1133,19299.79
506,54.2,136.53,330.53,3.99,1133,19299.79
507,54.2,136.53,330.53,3.99,1133,19299.79
508,54.2,136.53,330.53,3.99,1133,19299.79
